OBJECTID,Facility_N,Type,Owner,County,Sub_County,Division,Location,Sub_Locati,Constituen,Nearest_To,Latitude,Longitude
2597,Hospice Dispensary,Dispensary,Non-Governmental Organizations,Uasin Gishu,Eldoret East,Ainapkoi,Kapsoya,Kapsoya,ELDORET EAST,Eldoret,0.516389,35.3205
2598,House of Hope Medical Centre,Medical Clinic,Private Practice - General Practitioner,Kisumu,Nyakach,Lower Nyakach,North East Nyakach,Agoro West,NYAKACH,near Katito market,-0.26418,34.98087
2599,Howdil Aday Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Marsabit,Moyale,Central,Central,C,SAKU,Moyale,3.5287,39.0589
2600,Hoymas VCT (Nairobi),VCT Centre (Stand-Alone),Non-Governmental Organizations,Nairobi,Starehe,Kariokor,Pangani,Pangani,STAREHE,Pangani Shopping Centre,-1.26498,36.83671
2601,Hubuini Dispensary,Dispensary,Ministry of Health,Nyeri,Tetu,Tetu West,Thigiti,Hubuini,TETU,Hubuini Shopping Centre,0.48889,36.858
2602,Huduma Clinic,Medical Clinic,Private Enterprise (Institution),Migori,Kuria West,Kehancha,Bukira East,Igena,KURIA,Kehancha,-1.1923,34.62055
2603,Huduma Health Centre,Maternity Home,Private Practice - Clinical Officer,Nairobi,Kibra,Kibra,Sarang'ombe,Sarang'ombe,LANG'ATA,Olympic Shopping Center,-1.31428,36.77791
2604,Huduma Medical Clinic,Medical Clinic,Private Enterprise (Institution),Meru,Buuri,Buuri,Ruiri,Kamutune,NORTH IMENTI,Meru,0.163037,37.6602
2605,Huhoini Dispensary,Dispensary,Ministry of Health,Nyandarua,Nyandarua North,Nyahururu,Igwamiti,Losogwa,NDARAGWA,Huhoini,0.0359,36.28753
2606,Hulahula Dispensary,Dispensary,Ministry of Health,Marsabit,Marsabit,Central,Karare,Hulahula,SAKU,Marsabit,2.33679,37.9168
2607,Hulugho Sub-District Hospital,Sub-District Hospital,Ministry of Health,Garissa,Hulugho,Hulugho,Hadi,Garabey,IJARA,Hulugho Town,-1.15184,41.05997
2608,Humanity Medical Clinic (Kir South),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga South, , , ,MWEA, ,-0.64333,37.38912
2609,Humanity Medical Clinic (Kir West),Medical Clinic,Private Practice - Nurse / Midwife,Kirinyaga,Kirinyaga West, , , ,MWEA, ,-0.6682,37.20723
2610,Hungai Dispensary,Dispensary,Ministry of Health,Wajir,Tarbaj,Kutulo,Kutulo,Wargadud,WAJIR EAST,Hungai,2.2376,40.18895
2611,Hunters Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Nairobi,Kasarani,Kasarani,kasarani,kasarani,KASARANI,Hunters,-1.22724,36.91827
2612,Hurri-Hills Dispensary,Dispensary,Ministry of Health,Marsabit,Marsabit North,Turbi,Hurri Hills,Hurri-Hills,NORTH HORR,North Horr,3.22849,37.44836
2613,Huruma (EDARP),VCT Centre (Stand-Alone),Kenya Episcopal Conference-Catholic Secretariat,Nairobi,Mathare,Central,Huruma, ,MATHARE,Nairobi,-1.27097,36.86882
2614,Huruma (NCCK) Dispensary,Dispensary,Christian Health Association of Kenya,Nairobi,Mathare,Huruma,Huruma, ,MATHARE,Nairobi,-1.25988,36.87488
2615,Huruma Clinic (Embu),Medical Clinic,Private Practice - Nurse / Midwife,Embu,Manyatta,Manyatta,Nginda,Kibugu,MANYATTA,Kibugu,-0.44499,37.43436
2616,Huruma Dispensary,Dispensary,Other Faith Based,Nakuru,Njoro,Njoro,Njoro,Njoro,MOLO,Njoro,-0.33553,35.93939
2617,Huruma District Hospital,District Hospital,Ministry of Health,Uasin Gishu,Eldoret West,Turbo,Kapyemit,Huruma,ELDORET NORTH,Eldoret,0.52949,35.24714
2618,Huruma Health Centre (Laikipia East),Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Laikipia,Laikipia East,Central,Nanyuki,Nanyuki,LAIKIPIA EAST,Nanyuki,0.00295,37.08995
2619,Huruma Lions Dispensary,Dispensary,Local Authority,Nairobi,Mathare,Starehe,Huruma,Kia Maiko,MATHARE,Nairobi,-1.26085,36.86703
2620,Huruma Medical Centre,Medical Clinic,Private Enterprise (Institution),Meru,Imenti North,Miriga Mieru West, , ,NORTH IMENTI,Meru,0.05648,37.64155
2621,Huruma Medical Clinc,Medical Clinic,Private Practice - Unspecified,Meru,Imenti North,Miriga Mieru West,Mia moja, ,NORTH IMENTI, ,0.07867,37.23156
2622,Huruma Medical Clinic (Bamba),Medical Clinic,Private Practice - Clinical Officer,Kilifi,Ganze,Bamba,Bamba, ,GANZE,Bamba,-3.53923,39.52435
2623,Huruma Medical Clinic (Changamwe),Medical Clinic,Private Practice - Clinical Officer,Mombasa,Changamwe,Changamwe,Changamwe,Portreitz,CHANGAMWE,Mombasa,-4.02042,39.60765
2624,Huruma Medical Clinic (Gatundu),Medical Clinic,Private Practice - Nurse / Midwife,Kiambu,Gatundu,Kamwangi,Mangu,Mangu,GATUNDU NORTH,Gatundutown,-1.05487,37.15883
2625,Huruma Medical Clinic (Kangundo),Medical Clinic,Private Enterprise (Institution),Machakos,Kangundo,Kangundo,Kangundo,Isinga,KANGUNDO,Kangundo,-1.30269,37.34609
2626,Huruma Medical Clinic (Kanja),Medical Clinic,Private Practice - Nurse / Midwife,Embu,Embu East,Runyenjes,Kagaari North,Kanja South,RUNYENJES,Kanja,-0.37941,37.5295
2627,Huruma Medical Clinic (Moyale),Medical Clinic,Private Practice - Nurse / Midwife,Marsabit,Moyale,Central,Central,Central,SAKU,Moyale,3.5254,39.0593
2628,Huruma Mobile Clinic,Dispensary,Other Faith Based,Nakuru,Njoro,Njoro,Njoro,Njoro,MOLO,Njoro,-0.339278,35.9398
2629,Huruma Nursing Home & Maternity,Nursing Home,Private Enterprise (Institution),Nairobi,Mathare,Starehe,Huruma,Ngei,MATHARE,Nairobi,-1.2581,36.87538
2630,Hylax Clinic (Masaba North),Medical Clinic,Private Practice - Nurse / Midwife,Nyamira,North Masaba,Rigoma,Township,Nyasore,KITUTU MASABA,Keroka,-0.55994,34.96306
2631,I Choose Life - Africa(Kileleshwa),VCT Centre (Stand-Alone),Non-Governmental Organizations,Nairobi,Dagoretti North,Kileleshwa,Riverside,Riverside,DAGORETTI NORTH,Kasuku Centre,-1.2356,36.5897
2632,I Choose Life Africa Bomet VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,Bomet,Bomet Central,Bomet Central,Chepngaina,Bomet,BOMET, ,-0.5,35.07
2633,I Choose Life Baraton,VCT Centre (Stand-Alone),Non-Governmental Organizations,Nandi,Chesumei,Kapsabet,Chemundu,Chemundu,EMGWEN,Kapsabet,0.25361,35.08112
2634,Ibacho Sub-District Hospital,Sub-District Hospital,Ministry of Health,Kisii,Masaba South,Kiamokama,Ibacho,Ibacho,NYARIBARI MASABA,Ibacho,-0.89806,34.94024
2635,Ibeno Sub-District Hospital,Sub-District Hospital,Ministry of Health,Kisii,Kisii Central,Keumbu,Ibeno,Ibeno,NYARIBARI CHACHE,Nyanturago,-0.77956,34.85261
2636,Ibnusina Clinic,Medical Clinic,Private Practice - Clinical Officer,Lamu,Lamu West,Amu,Langoni,Langoni,LAMU WEST,Lamu,-2.27123,40.90268
2637,Ibnu-Sina Medical Clinic,Medical Clinic,Private Enterprise (Institution),Wajir,Wajir East,Central,Township,Township,WAJIR EAST,Wajir,1.75129,40.05686
2638,Ibrahim Ure Dispensary,Dispensary,Ministry of Health,Wajir,Wajir South,Diff,Ibrahim Ure,Ibrahim Ure,WAJIR SOUTH,Ibrahim Ure trading centre,1.58154,40.61069
2639,Ichagachiru Dispensary,Dispensary,Ministry of Health,Nyeri,Tetu,Tetu,Tetu,Ichagachiru,TETU,Huhoini,-0.44817,36.86432
2640,Ichagaki (Mission) Health Centre,Health Centre,Kenya Episcopal Conference-Catholic Secretariat,Murang'a,Muranga South,Maragua,Ichagaki,Ichagaki,MARAGWA,Ichagaki,-0.81065,37.0869
2641,Ichamara Dispensary,Dispensary,Ministry of Health,Nyeri,Mukurweini,Mukurweini,Githi,Ichamara,MUKURWEINI,Ichamara,-0.54656,37.08318
2642,Ichamara Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Nyeri,Mukurweini,Mukurweini,Githi,Ichamara,MUKURWEINI,Ichamara,-0.538076,37.0848
2643,Ichichi Dispensary,Dispensary,Ministry of Health,Murang'a,Muranga West,Kangema,Kiruri,Ndui-ini,KANGEMA,Ichichi Market,-0.70447,36.8387
2644,Ichomba Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Meru,Imenti South,Abogeta,Abogeta,Upper Kiungone,SOUTH IMENTI,Kanyakine Mkt,-0.11919,37.59755
2645,Ichuga Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Kieni East,Kieni East,Gakawa,Ichuga,KIENI,Ichuga,-0.00568,37.06206
2646,ICRH-DROP-IN-CENTRE Ukunda,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kwale,Msambweni,Diani,Diani,Bongwe Gombato,MSAMBWENI,Ukunda,-4.5234,39.40521
2647,Icross Dispensary,Dispensary,Ministry of Health,Kajiado,Kajiado North,Ngong,Keekonyokie Central,Kisamis,KAJIADO CENTRAL,Kiserian,-1.54909,36.61934
2648,Ideal Health Laboratory,Medical Clinic,Private Enterprise (Institution),Meru,Imenti North,Miriga Mieru West, , ,NORTH IMENTI,Meru,0.04645,37.6558
2649,Ideal Medical /Fp Clinic,Medical Clinic,Private Enterprise (Institution),Meru,Imenti North,Miriga Mieru West, , ,NORTH IMENTI,Meru,0.04645,37.6558
2650,Ideal Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Kiambu,Kikuyu,Kikuyu,Magana,Magana,KABETE,Magana,-1.24716,36.68149
2651,Ideal Medical Clinic (Kangundo),Medical Clinic,Private Enterprise (Institution),Machakos,Matungulu,Matungulu,Tala,Kyaume,KANGUNDO,Tala,-1.26757,37.32145
2652,Ideal Medical Clinic (Nyeri North),Medical Clinic,Private Practice - Clinical Officer,Nyeri,Mathira East,Mathira,Magutu, ,MATHIRA,Karatina,-0.459456,37.1251
2653,IDEWES,VCT Centre (Stand-Alone),Non-Governmental Organizations,Nairobi,Kibra,Kibra,Kibera,Makina,LANG'ATA,Kichinjio Village,-1.30814,36.78952
2654,IDF Mathare Dispensary,Dispensary,Private Enterprise (Institution),Nairobi,Kamukunji,Eastleigh North,Eastleigh Section I, ,KAMUKUNJI,Nairobi,-1.27085,36.847
2655,Idsowe Dispensary,Dispensary,Ministry of Health,Tana River,Tana Delta,Garsen,Shirikisho,Idsowe,GARSEN,Garsen,-2.29629,40.12269
2656,Iduku Dispensary,Dispensary,Ministry of Health,Vihiga,Vihiga,Vihiga,Wamuluma,Mbihi,VIHIGA,Mbale,0.07738,34.69369
2657,IFACO VCT,VCT Centre (Stand-Alone),Non-Governmental Organizations,Trans Nzoia,Trans Nzoia West,Central,Milimani,Milimani,SABOTI,Kitale,1.01813,35.00336
2658,Ifmaho Medical Clinic and Laboratory,Medical Clinic,Private Practice - Nurse / Midwife,Garissa,Garissa,Central,Central,Central,DUJIS,Garissa,-0.43425,39.63863
2659,Ifo 2 Hospital,Other Hospital,Humanitarian Agencies,Garissa,Dadaab,Ifo,Ifo,Ifo,LAGDERA,Dadaab,-0.1,39.901
2660,Ifo Hospital,Other Hospital,Non-Governmental Organizations,Garissa,Dadaab,Dadaab,Dadaab,Dadaab,LAGDERA,Garissa,0.10755,40.30511
2661,Iftin Medical and Lab Services,Medical Clinic,Private Enterprise (Institution),Garissa,Garissa,Central,Central,Central,DUJIS,Garissa,-0.48296,39.64983
2662,Iftin Medical Clinic,Medical Clinic,Private Enterprise (Institution),Garissa,Garissa, , , ,DUJIS, ,-0.46046,39.66037
2663,Iftin Sub-District Hospital,Sub-District Hospital,Ministry of Health,Garissa,Garissa,Central,Iftin,Iftin,DUJIS,Garissa,-0.47579,39.65659
2664,Igamatundu Dispensary,Dispensary,Community,Tharaka Nithi,Meru South,Igambang'ombe,Itugururu,Igamatundu,CHUKA IGAMBANGOMBE,Chuka Town/ Itugururu Market,-0.42962,37.7228
2665,Igana Dispensary,Dispensary,Ministry of Health,Nyeri,Mukurweini,Mukurweini,Giathugu,Gatura,MUKURWEINI,Igana,-0.58506,37.0937
2666,Igandene Dispensary,Dispensary,Christian Health Association of Kenya,Meru,Imenti South,Abogeta,Abogeta,Lower Kiungone,SOUTH IMENTI,Kanyakine Mkt,-0.11775,37.62709
2667,Igara Dispensary,Dispensary,Ministry of Health,Busia,Nambale,Nambale,Walatsi,Khwivale,NAMBALE,Nambale,0.53294,34.36315
2668,Igare Medical Clinic (Sameta),Medical Clinic,Private Enterprise (Institution),Kisii,Sameta,Sameta,Bassi Boitangare,Igare,BOBASI,Igare mrkt,-0.80387,34.80396
2669,Igarii Dispensary,Dispensary,Ministry of Health,Meru,Tigania East,Tigania East,Igarii,Nkandi,TIGANIA EAST,Igarii/mulika/mikinduri,0.01813,37.89612
2670,Igegania Sub-District Hospital,Sub-District Hospital,Ministry of Health,Kiambu,Gatundu North,Mangu,Mangu,Karure,GATUNDU NORTH,Kamwangi,-0.97363,36.92842
2671,Igena-Itambe Dispensary,Dispensary,Ministry of Health,Nyamira,Nyamira,Nyamira,Bosamaro Chache,Bigege,WEST MUGIRANGO,Tinga,-0.63707,34.91642
2672,Ignane Health Centre,Health Centre,Ministry of Health,Meru,Meru Central,Abothuguchi East, , ,CENTRAL IMENTI, ,-0.04154,37.7211
2673,Igoki Dispensary,Dispensary,Ministry of Health,Meru,Imenti North,Miriga Mieru West,Igoki,Lower Igoki,NORTH IMENTI,Meru,0.02791,37.67846
2674,Igorera Medical Clinic,Medical Clinic,Private Enterprise (Institution),Kisii,Kenyenya,Magena, ,Kiango,BOMACHOGE,Magena,-0.90836,34.79625
2675,Iguhu District Hospital,District Hospital,Ministry of Health,Kakamega,Kakamega South (Ikolomani),Ikolomani  South,Iguhu,Makhokho,IKOLOMANI,Makhokho Mkt,0.16606,34.74513
2676,Igure Dispensary,Dispensary,Ministry of Health,Baringo,Koibatek,Eldama Ravine,Maji Mazuri,Makutano,ELDAMA RAVINE,Makutano,-0.04644,35.65415
2677,Igwamiti Dispensary,Dispensary,Ministry of Health,Nakuru,Subukia,Mbogoini,Mbogoini,Nyamamithi,SUBUKIA,Subukia,0.13272,36.25113
2678,Igwamiti Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyandarua,Nyandarua West,Oljoro orok,Silibwet,Silibwet,OL KALOU,Silibwet,-0.03999,36.29082
2679,Ihuririo Dispensary,Dispensary,Ministry of Health,Nyeri,Nyeri South,Othaya,Iriaini,Ihuririo,OTHAYA,Othaya Town,-0.54877,36.88851
2680,Ihururu Health Centre,Health Centre,Ministry of Health,Nyeri,Tetu,Tetu,Muhoyas,Ihururu,TETU,Ihururu,-0.41203,36.89071
2681,Ihururu Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Tetu,Tetu,Muhoyas,Ihururu,TETU,Ihururu,-0.412539,36.8893
2682,Ihwa Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Tetu,Tetu,Tetu,Ihwa,TETU,Ihwa,-0.456636,36.7233
2683,Ihwagi Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Nyeri,Mathira East,Mathira,Chehe, ,MATHIRA,Iriaini,-0.413289,37.1949
2684,Iiani Catholic Dispensary,Dispensary,Other Faith Based,Kitui,Kitui West,Mutonguni,Kakeani,Iiani,KITUI WEST,Iiani,-1.14241,37.89477
2685,Iiani Dispensary,Dispensary,Ministry of Health,Makueni,Kathonzweni,Mavindini,Kanthuni,Iiani,MAKUENI,Mavindini,-1.87555,37.87856
2686,Iiani Dispensary (Kibwezi),Dispensary,Ministry of Health,Makueni,Kibwezi,Mtito Andei,Nzambani,Liani,KIBWEZI,Kambu,-2.6436,38.02712
2687,Iiani/Kiatineni Dispensary,Dispensary,Ministry of Health,Makueni,Mbooni West,Tulimani,Tulimani,Iiani,MBOONI,Iiani Markret,-1.55041,37.3583
2688,Iimbani Dispensary,Dispensary,Ministry of Health,Machakos,Kathiani,Iveti,Iveti,Kaviani,KATHIANI,Kaviani,-1.49653,37.30266
2689,Ijara District Hospital - Masalani,District Hospital,Ministry of Health,Garissa,Ijara,Masalani,Gumarey,Gumarey,IJARA,Masalani town,-1.69074,40.16999
2690,Ijara Health Centre,Health Centre,Ministry of Health,Garissa,Ijara,Ijara,Ijara,Ijara,IJARA,Ijara town,-1.59897,40.51057
2691,Ikaatini Dispensary,Dispensary,Ministry of Health,Machakos,Masinga,Masinga,Ikaatini,Ikaatini,MASINGA,Ikaatini,-1.07425,37.54438
2692,Ikalaasa Dispensary,Dispensary,Ministry of Health,Machakos,Mwala,Kibauni,Ikalaasa,Ikalaasa,MWALA,Masii,-1.53469,37.67377
2693,Ikalyoni Dispensary,Dispensary,Ministry of Health,Makueni,Makueni,Kaiti,Ukia,Utaati,KAITI,Ikalyoni MARKET,-1.79243,37.4961
2694,Ikanga Sub-District Hospital,Sub-District Hospital,Ministry of Health,Kitui,Mutomo,Ikanga,Ikanga,Ilusya,KITUI SOUTH,Ikanga,-1.42071,38.03646
2695,Ikerege Clinic,Medical Clinic,Private Enterprise (Institution),Migori,Kuria West,Isebania,Bukira Central,Gwikonge,KURIA,Ikerege,-1.19948,34.55776
2696,Ikhanyi Dispensary,Dispensary,Ministry of Health,Kakamega,Kakamega North (Malava),Mwera,Mahira,Mwera,MALAVA,Mlava,0.41091,34.80511
2697,Ikobe Health Centre(Manga),Health Centre,Ministry of Health,Nyamira,Manga,Manga,Central Kitutu,Mwabosire,KITUTU MASABA,Manga,-0.63417,34.83924
2698,Ikombe Dispensary,Dispensary,Ministry of Health,Machakos,Yatta,Katangi,Ikombe,Ikombe,YATTA,Ikombe,-1.29905,37.67606
2699,Ikonge Dispensary,Dispensary,Ministry of Health,Nyamira,Nyamira North,Ekerenyo,Itibo,Ikonge,NORTH MUGIRANGO,Ikonge,-0.53604,35.02118
2700,Ikonzo Dispensary,Dispensary,Ministry of Health,Busia,Butula,Butula,Bujumba,Ikonzo,BUTULA,Bumala,0.34385,34.22547
2701,Ikumbi Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Murang'a,Kigumo,Kigumo,Kigumo,Gachocho,KIGUMO,Gachocho,-0.778721,36.9825
2702,Ikumbi Health Centre,Health Centre,Ministry of Health,Nakuru,Kuresoi,Keringet,Tamoyota,Ikumbi,KURESOI,Kamwaura,-0.41322,35.57793
2703,Ikumbo Dispensary,Dispensary,Ministry of Health,Tharaka Nithi,Maara,Ganga,Kirumi,Ikumbo,CHUKA IGAMBANGOMBE,Chogoria,-0.26653,37.75044
2704,Ikutha Health Centre,Health Centre,Ministry of Health,Kitui,Ikutha,Ikutha,Ikutha,Maiini,KITUI SOUTH,Ikutha,-2.06641,38.17744
2705,Ikutha Medical Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Kitui,Ikutha,Ikutha,Ikutha,Maaini,KITUI SOUTH,Ikutha town,-2.06436,38.18043
2706,Ikuu CFW Clinic,Medical Clinic,Non-Governmental Organizations,Tharaka Nithi,Meru South,Magumoni,Kabuboni,Kabuboni,THARAKA,Ikuu,-0.3721,37.65282
2707,Ikuu Dispensary,Dispensary,Ministry of Health,Tharaka Nithi,Meru South,Magumoni,Mwonge,Kagumo,CHUKA IGAMBANGOMBE,Chuka Town Ikuu Market,-0.3704,37.64686
2708,Ikuyuni Dispensary,Dispensary,Ministry of Health,Kitui,Nzambani,Chuluni,Nzambani,kangweni,KITUI CENTRAL,ikuyuni shopping centre,-1.46521,38.05702
2709,Ikuywa Dispensary,Dispensary,Ministry of Health,Kakamega,Kakamega East (Shinyalu),Ileho,Ivihiga,Lunyu,SHINYALU,Ivihiga,0.2089,34.9426
2710,Iladoru Dispensary,Dispensary,Ministry of Health,Narok,Narok South,Ololulunga,Olkiriaine,Iladoru,NAROK SOUTH,Ololulunga,-1.16028,35.77482
2711,Ilaiser Dispensary,Dispensary,Ministry of Health,Narok,Narok North,Mau,Upper Melili,Ilaiser,NAROK NORTH,Narok,-0.88928,36.10432
2712,Ilalambyu Dispensary,Dispensary,Ministry of Health,Kitui,Mwingi West,Mumbuni,Ilalambyu,Ilalambyu,MWINGI SOUTH,Ilalambyu,-1.06338,38.07784
2713,Ilan Dispensary,Dispensary,Ministry of Health,Garissa,Lagdera,modogashe,modogashe,modogashe,LAGDERA, ,0.76403,39.3096
2714,Ilatu Dispensary (Makindu),Dispensary,Ministry of Health,Makueni,Makindu,Makindu,Nguumo,Muuni,KIBWEZI,Ilatu,-2.35735,37.85057
2715,Ilbissil Medical Clinic,Medical Clinic,Private Practice - General Practitioner,Kajiado,Kajiado Central,Namanga, ,Ilbissil Town,KAJIADO CENTRAL, ,-2.09812,36.79055
2716,Ilbrah Counseling Centre,VCT Centre (Stand-Alone),Private Practice - Unspecified,Uasin Gishu,Eldoret East,Moiben,Chepkoilel,Chepkoilel,ELDORET EAST,Eldoret,0.51632,35.27612
2717,Ilchalai Dispensary,Dispensary,Ministry of Health,Kajiado,Loitoktok,Imbirikani,Imbirikani,Imbirikani,KAJIADO SOUTH,Kimana Market,-2.68211,37.62689
2718,Ileho Health Centre,Health Centre,Ministry of Health,Kakamega,Kakamega East (Shinyalu),Ileho,Ivihiga,Lunyu,SHINYALU,Ivihiga,0.29034,34.94566
2719,Ilengi Dispensary,Dispensary,Ministry of Health,Kitui,Ikutha,Athi,Maluma,Muambani,KITUI SOUTH,Ilengi,-1.88868,37.93511
2720,Ilika Dispensary,Dispensary,Ministry of Health,Kitui,Lower Yatta,Yatta,Yatta,Ilika,KITUI WEST,Kwakilui,-1.55716,37.76407
2721,Ilkerin Dispensary (Narok South),Dispensary,Ministry of Health,Narok,Narok South,Loita,Ilkerin,Ilmarai,NAROK SOUTH,Ilkerin,-1.235176,35.669857
2722,Ilkerin Dispensary (Trans Mara),Dispensary,Ministry of Health,Narok,Trans Mara East,Emurua Dikirr,Murgan,Ilkerin,KILGORIS,Kurangurik Market,-1.06626,35.11089
2723,Ilkilinyet Dispensary,Dispensary,Ministry of Health,Kajiado,Mashuru,Mashuru,Kinyawa,Ilkilinyet Dispensary,KAJIADO CENTRAL,Masimba,-2.29263,37.61319
2724,Ilkilorit Dispeensary,Dispensary,Ministry of Health,Kajiado,Kajiado North,Ewuaso Kedong,Saikeri,Ilkilorit,KAJIADO NORTH,Ngong,-1.56849,36.75698
2725,Ilkiremisho Dispensary,Dispensary,Community Development Fund,Narok,Narok North,Mau,Ntulele,Ntulele,NAROK NORTH,Ntulele markert,-1.02762,36.07735
2726,Illasit Dispensary,Dispensary,Ministry of Health,Kajiado,Loitoktok,Rombo,Entarara,Illasit,KAJIADO SOUTH,Illasit Market,-2.96026,37.57603
2727,Illasit Medical Clinic,Medical Clinic,Private Practice - Clinical Officer,Kajiado,Loitoktok,Rombo,Entarara,Entarara,KAJIADO SOUTH,Illasit Market,-2.95799,37.57027
2728,Illaut Dispensary,Dispensary,Christian Health Association of Kenya,Marsabit,Marsabit South,Korr,Ngurunit,Illaut,LAISAMIS,Ngurunit Centre,1.92738,37.2495
2729,Illeret Health Centre (North Horr),Health Centre,Ministry of Health,Marsabit,North Horr,North Horr,Illeret,Illeret,NORTH HORR,Illeret Town,4.31339,36.22702
2730,Illikeek Oodupa Clinic,Medical Clinic,Private Practice - Nurse / Midwife,Narok,Trans Mara West - Dikirr,Kilgoris,Olalui,Olalui,KILGORIS,Kilgoris,-1.00974,34.87885
2731,Illinga'rua Dispensary,Dispensary,Ministry of Health,Baringo,Marigat,Marigat,Eldume,Ilingarua,BARINGO CENTRAL,Marigat,0.4732,36.0488
2732,Ilmotiok Dispensary,Dispensary,Ministry of Health,Laikipia,Laikipia North,Kirimon,Loiborsoit,Ilmotiok,LAIKIPIA EAST,Kimanjo,0.47444,37.01297
2733,Ilparakuo Dispensary,Dispensary,Ministry of Health,Kajiado,Kajiado North,Magadi,Olkeri,Olkeri,KAJIADO NORTH,Magadi,-1.88774,36.31172
2734,Ilpolei Dispensary,Dispensary,Ministry of Health,Laikipia,Laikipia North,Ildigiri,Ilpolei,Ilpolei,LAIKIPIA EAST,Ilpolei,0.35968,37.07226
2735,Ilpolosat Dispensary,Dispensary,Ministry of Health,Kajiado,Isinya,Isinya,Isinya,Ilpolosat,KAJIADO NORTH,Isinya,-1.75695,37.05516
2736,Iltilal Health Centre,Health Centre,Ministry of Health,Kajiado,Loitoktok,Central,Kuku,Kuku,KAJIADO SOUTH,Iltilal Market,-2.86835,37.8768
2737,Ilula Dispensary,Dispensary,Private Enterprise (Institution),Uasin Gishu,Eldoret East,Moiben,Sergoit,Cheburbur,ELDORET EAST,Eldoret,0.60296,35.3993
